grid_x,grid_y,start_x,start_y,walks,mean_steps,std_steps,median_steps,mode_steps,max_steps,min_steps,source_folder
10,10,0,0,1000,136.335,91.87975110797623,111.0,62,669,17,"10x10-(0,0)"
15,15,0,0,1000,304.118,211.40757138105823,248.0,140,2067,35,"15x15-(0,0)"
20,20,0,0,1000,519.311,360.7286895527808,422.0,216,2799,60,"20x20-(0,0)"
25,25,0,0,1000,810.38,590.2357680299134,654.5,390,4293,85,"25x25-(0,0)"
30,30,0,0,1000,1160.888,796.2305498689086,953.0,1504,6035,95,"30x30-(0,0)"
35,35,0,0,1000,1567.451,1116.6264595867542,1255.5,509,8010,211,"35x35-(0,0)"
40,40,0,0,1000,2032.39,1383.923366297348,1698.5,765,11122,259,"40x40-(0,0)"
45,45,0,0,1000,2550.737,1825.2405548074792,2030.5,830,16011,203,"45x45-(0,0)"
50,50,0,0,1000,3095.562,2216.4340807229505,2473.0,1422,19325,323,"50x50-(0,0)"
5,5,0,0,1000,42.936,28.696644427552872,35.0,26,180,6,"5x5-(0,0)"
